IDX,Station,Inc,Cost,Constraint_original,Availability,LATITUDE,LONGITUDE
196,CRAZY EYES,1285,356387775.6,GLW 230kV area constraint,0,36.13437,-115.743082
197,TULUCAY,861,0,Lakeville-Ignacio 230 kV line,0,38.24787312,-122.2679463
198,TUPMAN,16891,940000000,Midway-Q2005 230kV Line,0,35.35407906,-119.2707276
199,UKIAH,50,50000000,Cortina-Eagle Rock 115 kV line,0,39.14419026,-123.1980534
200,VACA-DIXON,16891,940000000,Midway-Q2005 230kV Line,0,38.40101426,-121.9207606
201,VALLEY (VEA),1367,379130030.5,VEA 138kV area constraint,0,34.18594776,-118.3473241
202,VALLEY SWITCH,1367,379130030.5,VEA 138kV area constraint,0,36.567509,-116.387685
203,VESTAL,2000,4358000000,South of Magunden Constraint,0,35.8417458,-119.0847234
204,VINEYARD,6034,417332000,Windmaster-Delta pumps 230 kV line,0,37.66975268,-121.8544476
205,VISTA (VEA),1367,379130030.5,VEA 138kV area constraint,0,36.47974,-115.873583
206,WEST FRESNO,16891,940000000,Midway-Q2005 230kV Line,0,36.71831777,-119.8187466
207,WEST PARK,637,760000000,Semitropic-Midway 115kV Line,0,35.37408196,-119.0402296
208,WHEELER RIDGE,16891,940000000,Midway-Q2005 230kV Line,0,35.08906472,-118.9763096
209,WILSON,16891,940000000,Midway-Q2005 230kV Line,0,37.29282854,-120.4073943
210,WINDHUB,2500,612000000,Windhub Constraint,0,35.03503854,-118.2807321
211,WYANDOTTE,707,125000000,Rocklin-Pleaseant grove 115kV line,0,39.49160901,-121.5409682
212,BOULEVARD,4754,29971000,Silvergate - Bay Blvd 230 kV constraint,0,32.66170965,-116.2732787
213,BELLVUE,861,0,Lakeville-Ignacio 230 kV line,0,38.37891989,-122.7126931
214,BIG CREEK 1,2000,4358000000,South of Magunden Constraint,0,37.14825235,-119.3885115
215,BIRDS LANDING,1766,700000000,Birds Landing-Contra Costa 230kV Line,0,38.1247053,-121.8301547
216,CARIBOU,707,125000000,Rocklin-Pleaseant grove 115kV line,0,40.08604328,-121.1483807
217,COLGATE,707,125000000,Rocklin-Pleaseant grove 115kV line,0,39.33111458,-121.1897057
218,COTTONWOOD,26,180000000,Carberry-Round Mountain 230kV Line,0,40.393162,-122.283
219,ELDORADO,5000,1386722862,Devers-Red Bluff Constraint,0,38.795888,-120.592309
220,ARTESIAN (SDGE),936,259594519.8,Internal San Diego Area constraint,0,33.024211,-117.135365
221,COLLINSVILLE,16891,940000000,Midway-Q2005 230kV Line,0,38.080426,-121.850631
222,FAIRWAY (PGE),16891,940000000,Midway-Q2005 230kV Line,0,40.784985,-124.212521
223,PLACERVILLE,574,0,Rio Oso-Brighton 230kV line,0,38.901542,-121.085933
224,THOUSANDAIRE,1285,356387775.6,GLW 230kV area constraint,0,36.13052,-115.951569
225,WOODLAND (PGE),109,9329000,Woodland- Davis 115kV line,0,38.671837,-121.746237
226,MI-WUK,1255,1700000000,Kasson Jct-Heinz 115 kV line,2.08,38.05291446,-120.2171181
227,AVOCADO,936,259594519.8,Internal San Diego Area constraint,5.71,33.38466007,-117.236975
228,CROW CREEK SW STA,74,400000000,Salado-Crow Creek Sw Sta 60 kV line,14.15,37.46184,-121.033088
229,SAN JOSE STA. B,712,380000000,Morganhill-Metcalf 115kV Line,21.94,37.34091732,-121.9017027
230,EL PATIO,712,380000000,Morganhill-Metcalf 115kV Line,27.69,37.29186779,-121.9341028
231,VIERRA,1255,1700000000,Kasson Jct-Heinz 115 kV line,29.31,37.79788174,-121.2741958
232,EVERGREEN (PGE),712,380000000,Morganhill-Metcalf 115kV Line,30.89,37.30315012,-121.8410128
233,WEBER,460,400000000,Bellota-Weber 230kV line,34.73,37.91997969,-121.2403305
234,CURTIS,1255,1700000000,Kasson Jct-Heinz 115 kV line,35.36,37.97446695,-120.3199179
235,RIPON,1255,1700000000,Kasson Jct-Heinz 115 kV line,35.84,37.7557934,-121.1464864
236,MONTA VISTA,653,0,Sobrante-Moraga 230 kV line,40.07,37.32408976,-122.0730733
237,ETIWANDA,3350,89000000,Etiwanda-Rancho Vista Constraint,44.47,34.08898695,-117.5268557
238,FMC,712,380000000,Morganhill-Metcalf 115kV Line,46.77,37.34731678,-121.9219838
239,SCHULTE,707,125000000,Rocklin-Pleaseant grove 115kV line,50.09,37.739705,-121.51923
240,LAMMERS,1255,1700000000,Kasson Jct-Heinz 115 kV line,51.72,37.71312747,-121.4779705
241,GREEN VALLEY (PGE),712,380000000,Morganhill-Metcalf 115kV Line,53.25,36.95202198,-121.7602601
242,VALLEY HOME,1255,1700000000,Kasson Jct-Heinz 115 kV line,54.42,37.85642348,-120.9444414
243,FROGTOWN,1255,1700000000,Kasson Jct-Heinz 115 kV line,58.4,38.05713422,-120.5340177
244,EAGLE MT,600,1182000000,Eagle Mountain Constraint,72.21,33.81083629,-115.4537311
245,MELONES (PGE),1255,1700000000,Kasson Jct-Heinz 115 kV line,73.28,37.94450442,-120.5363985
246,KASSON,70,0,Tesla-Salado 115 kV line,82.01,37.74580851,-121.3413566
247,METCALF 1,712,380000000,Morganhill-Metcalf 115kV Line,84.74,37.230848,-121.748056
248,SANTA TERESA,300,0,Tesla-Bellota 230 kV line,84.74,37.239629,-121.759175
249,SARATOGA,653,0,Sobrante-Moraga 230 kV line,85.3,37.28105051,-122.0153074
250,SALADO,1255,1700000000,Kasson Jct-Heinz 115 kV line,85.89,37.42190248,-121.147546
251,BLYTHE,2823,782943728,East of Miguel constraint,92.43,33.60623703,-114.5997954
252,SAN BERNARDINO,3350,89000000,Etiwanda-Rancho Vista Constraint,93.82,34.079877,-117.23829
253,VASONA,6034,417332000,Windmaster-Delta pumps 230 kV line,97.28,37.25387911,-121.9663367
254,PIERCY,712,380000000,Morganhill-Metcalf 115kV Line,111.53,37.26912196,-121.7872774
255,HICKS,300,0,Tesla-Bellota 230 kV line,112.43,37.23371427,-121.9010142
256,EL CASCO,3350,89000000,Etiwanda-Rancho Vista Constraint,112.99,33.96635743,-117.0774516
257,RIVERBANK,1255,1700000000,Kasson Jct-Heinz 115 kV line,113.44,37.76912798,-120.9080989
258,VISTA (SCE),3350,89000000,Etiwanda-Rancho Vista Constraint,114.66,34.04143737,-117.3192835
259,TRACY (PGE),16891,940000000,Midway-Q2005 230kV Line,122.71,37.79888323,-121.5790798
260,LOCKEFORD,460,400000000,Bellota-Weber 230kV line,168.63,38.11782092,-121.1603301
261,VALLEY (SCE),3350,89000000,Etiwanda-Rancho Vista Constraint,183.84,33.73893408,-117.1566561
262,EIGHT MILE,574,0,Rio Oso-Brighton 230kV line,186.63,38.05878663,-121.3768386
263,ROADWAY,1206,334477554.3,Kramer to Victor Area Constraint,194.48,34.57617027,-117.4132184
264,ROADWAY,1206,334477554.3,Kramer to Victor Area Constraint,194.48,34.57617027,-117.4132184
265,TRABUCO,556,103366000,Trabuco-Capistrano 138 kV constraint,199.04,33.56290743,-117.6735588
266,DEVERS,3350,89000000,Etiwanda-Rancho Vista Constraint,202.87,33.93907942,-116.5777334
267,MOSS LANDING,16891,940000000,Midway-Q2005 230kV Line,208.87,36.80736089,-121.7796791
268,BELLOTA,2019,0,Panoche- Mendota 115 kV line,235.3,38.01554042,-121.0137734
269,MARGARITA,556,103366000,Trabuco-Capistrano 138 kV constraint,248.08,33.54973496,-117.6280759
270,LUGO,0,0,SCE Metro Area Default Constraint,262.04,34.36669147,-117.368744
271,LUGO,1178,326711906.3,Lugo Transformer Area Constraint,262.04,34.36669147,-117.368744
272,VICTOR,1221,338637722.9,Victor to Lugo Area Constraint,263.27,34.50431868,-117.3886273
273,TESLA,831,0,Newark-Newark Distribution 115 kV line,270.83,37.71242814,-121.564928
274,RANCHO MISSION VIEJO,556,103366000,Trabuco-Capistrano 138 kV constraint,290.75,33.52639923,-117.5988588
275,DIXON LANDING,300,0,Tesla-Bellota 230 kV line,292.42,37.45754565,-121.9213262
276,COYOTE,300,0,Tesla-Bellota 230 kV line,315.99,37.15819833,-121.6376102
277,STANISLAUS RECOVERY,16891,940000000,Midway-Q2005 230kV Line,446.6,37.38596101,-121.140682
278,TALEGA,556,103366000,Trabuco-Capistrano 138 kV constraint,486.39,33.453118,-117.571533
279,LOS BANOS,16891,940000000,Midway-Q2005 230kV Line,493.75,37.0530644,-121.0216989
280,QUINTO,4931,0,Los Banos 500/230kV TB,493.77,37.102976,-121.0258
281,CAPISTRANO,556,103366000,Trabuco-Capistrano 138 kV constraint,494.03,33.51252754,-117.665582
282,WALNUT,1058,11000000,Del Amo - Barre Area Constraint,506.13,34.00812595,-117.9498067
283,WHIRLWIND,1500,13200000,Antelope-Vincent Constraint,532.44,34.85815427,-118.4371237
284,STAGG,4931,0,Los Banos 500/230kV TB,540.09,37.99220639,-121.3484564
