Name,Capacity,Path Cost,Bus Index,Bus Name,Cap Increase,Price,Constraint Name
Terry 1818-WD,4.6,266197.25,22,CHARCA,637,760000000,Semitropic-Midway 115kV Line
Kern Sunset 1886-WD,2.4,5581061.5,67,GRIMMWAY-MALAGA,637,760000000,Semitropic-Midway 115kV Line
Open Sky Ranch Inc,1.7,12590498,173,SCHINDLER,0,0,Moss Landing-Las Aguilas 230 kV Line
City of Atwater NEM,1.5,13323497,110,MERCED (PGE),16891,940000000,Midway-Q2005 230kV Line
Dixie Creek Dairy Solar,2.9,23319392,33,CORCORAN,0,0,Moss Landing-Las Aguilas 230 kV Line
Costa View Farms,5,7765456,38,DAIRYLAND,358,125000000,Merced 115/70kV TB#2
TWC,1.2,10660202,33,CORCORAN,0,0,Moss Landing-Las Aguilas 230 kV Line
Paso Robles - Municipal Airport,3,17694564,193,TEMPLETON,16891,940000000,Midway-Q2005 230kV Line
Harris Farms Solar Facility,1.3,16371109,60,GATES,16891,940000000,Midway-Q2005 230kV Line
Lemoore West,7.9,8372060,123,MUSTANG,0,0,Moss Landing-Las Aguilas 230 kV Line
CA- US Foods- Livermore,1.2,3242534.75,100,LAS POSITAS,6034,417332000,Windmaster-Delta pumps 230 kV line
Mountain View Ind Park 1-sline001,1.1,9741523,237,ETIWANDA,3350,89000000,Etiwanda-Rancho Vista Constraint
North Kern 2,2.5,3932530.25,94,LERDO,637,760000000,Semitropic-Midway 115kV Line
North Kern 1,2.5,4153907,94,LERDO,637,760000000,Semitropic-Midway 115kV Line
Wheeler Ridge 2,5,10668476,143,PASTORIA,2000,100000000,Antelope-Neenach Constraint
Bishop Ranch - BR 8-O,1,4959760,166,SAN RAMON,6034,417332000,Windmaster-Delta pumps 230 kV line
Bishop Ranch - BR 15-AA,0.5,5898310.5,166,SAN RAMON,6034,417332000,Windmaster-Delta pumps 230 kV line
Pivot Energy PPA 22,1.3,16073053,156,RECTOR,2000,4358000000,South of Magunden Constraint
Blue Moon Farms,1,9170736,1,ALPAUGH,16891,940000000,Midway-Q2005 230kV Line
Tipton 1 - (CA),4.2,17160214,1,ALPAUGH,16891,940000000,Midway-Q2005 230kV Line
Visalia Solar,2.5,16055611,156,RECTOR,2000,4358000000,South of Magunden Constraint
"Community Solar Utica 1, LLC",3,20445408,3,ARCO (PGE),16891,940000000,Midway-Q2005 230kV Line
North Kern 3,5,5852510.5,56,FAMOSO,637,760000000,Semitropic-Midway 115kV Line
Central San,1.8,5602610,106,MARTINEZ,978,271242991.8,Dumbarton-Newark 115 kV line
Kern Del Oro,1.2,9755060,103,MAGUNDEN,2000,4358000000,South of Magunden Constraint
Sutter Home Winery GIR,1.1,7579104.5,197,TULUCAY,861,0,Lakeville-Ignacio 230 kV line
Sutter Home Winery TCC,1.1,25216460,193,TEMPLETON,16891,940000000,Midway-Q2005 230kV Line
Avalon Dairy,3.1,2303241.5,181,SMYRNA,16891,940000000,Midway-Q2005 230kV Line
Oaks HOA,1,32786636,260,LOCKEFORD,460,400000000,Bellota-Weber 230kV line
Superior Almond Hulling,2.1,1660632.25,54,EXCELSIOR,0,0,Moss Landing-Las Aguilas 230 kV Line
Lockheed Martin Palmdale Solar PV,20,17840592,308,VINCENT,1800,660000000,Pardee-Sylmar Constraint
Dos Palos Cooperative Gin,1,26589968,110,MERCED (PGE),16891,940000000,Midway-Q2005 230kV Line
Da Silva Dairy,1,6229493.5,242,VALLEY HOME,1255,1700000000,Kasson Jct-Heinz 115 kV line
