NAME,ZIP,LATITUDE,LONGITUDE
STATION 11,90049,34.05097304,-118.4760319
HIGHLANDS,95422,38.93700921,-122.6089912
WALERGA-GALBRATH,95660,38.69718536,-121.364137
PLACENTIA,92870,33.87157729,-117.8786352
PENASQUITOS,92130,32.91704603,-117.2192968
SULPHUR SPRINGS,95441,38.78662247,-122.7822285
CHRISTIE,94553,38.00283333,-122.208258
MURRAY,91942,32.79081261,-117.023093
HIGHWAY JUNCTION 2,94503,38.166859,-122.253739
UNKNOWN300157,95757,38.29018299,-121.4408751
WILLOW PASS,94565,38.02476068,-121.961004
UNIMED,92350,34.05100399,-117.2626762
UNKNOWN300167,91773,34.12104,-117.7941783
SPRINGVILLE,93257,36.10795523,-118.9380761
LEHMAN,93043,34.15666058,-119.2092361
UNKNOWN300170,90241,33.941532,-118.1386518
MANCHESTER,93726,36.7880176,-119.7878143
UNKNOWN300182,95632,38.30247145,-121.2965414
PROMANADE,95757,38.38689378,-121.3737933
OTAY MESA,92154,32.57406801,-116.9113836
RISER300190,92807,33.859195,-117.788402
CIMMARON-E NATAMOS,95630,38.68714403,-121.1517724
RISER300194,92706,33.763696,-117.85608
UNKNOWN300195,95959,39.31559281,-120.6509079
TENAJA,92595,33.58461678,-117.2553135
BERKELEY F,94703,37.87239952,-122.2782001
UNKNOWN300201,95747,38.72869262,-121.3644976
CALPINE KING ENERGY,93930,36.22605517,-121.1282596
WILSONA,93591,34.57923981,-117.7197364
KERN FRONT,93308,35.50945632,-119.0304974
UNKNOWN300212,93249,35.70881024,-120.0103686
UNKNOWN300213,93640,36.75758444,-120.3636514
FOOTHILL,93405,35.28670398,-120.7059594
MARITIME,95758,38.41590047,-121.4821442
RIVER OAKS,95134,37.41130284,-121.9277221
DESERT OUTPOST,92234,33.80844331,-116.472688
UNKNOWN300221,95621,38.68817242,-121.3081019
IRON POINT,95630,38.64485047,-121.1470812
CALIPATRIA,92233,33.16872593,-115.4925171
VOLTA 1,96059,40.45956093,-121.8664833
UPPER GORGE,93514,37.54580605,-118.5899435
MARSHALL,95363,37.43627431,-121.1323619
MOORE RD,96001,40.5350197,-122.3776433
CENTER,90650,33.92888478,-118.1059118
NARROWS,90660,34.00492318,-118.0667809
UNKNOWN300238,93280,35.63042117,-119.4554067
HALLS FLAT,96056,40.74487251,-121.2780083
PLUESS,92356,34.3830617,-116.9412036
UNKNOWN300253,93501,35.04315537,-118.2492077
RINCON,95409,38.49000087,-122.6660851
UNKNOWN300260,90201,33.98660539,-118.1620931
OROVILLE,95965,39.5040178,-121.5601425
ESCO,92025,33.11569169,-117.089319
MONARCH,95205,37.96935846,-121.2802723
OWENS BROCKWAY,94601,37.77065992,-122.2247058
FAIRMONT,92808,33.85643545,-117.7683771
NORTH RECEIVING STATION,95054,37.40193715,-121.9665262
UNKNOWN300284,93210,36.30825826,-120.2528675
DOUBLETT,92121,32.90197177,-117.2271022
