Name,Availability
RAVENSWOOD 115 kV,-397.09
RAVENSWOOD 230 kV,-367.9
RECTOR 230 kV,-50.44
RED BLUFF 230 kV,-747.1
RED BLUFF 500 kV,358.4
RED BLUFF 60 kV,"-5,337.36"
REDBUD 115 kV,"-3,973.75"
REDONDO 230 kV,"1,399.32"
REEDLEY 115 kV,-689.05
REEDLEY 70 kV,-689.05
RICHMOND R 115 kV,"-2,857.86"
RINCON 69 kV,-259.51
RIO HONDO 230 kV,"1,422.43"
RIO OSO 115 kV,"-9,221.88"
RIO OSO 230 kV,"-9,799.52"
RIPON 115 kV,35.84
RIVERBANK 115 kV,113.44
ROADWAY 115 kV,194.48
ROB ROY 115 kV,53.25
ROCK CREEK PH 230 kV,"-9,799.52"
ROSE CANYON 69 kV,-229.61
ROSSMOOR 230 kV,"-12,355.68"
ROUND MTN 230 kV,"-4,413.39"
ROUND MTN 500 kV,"-3,912.27"
SALADO 115 kV,85.89
SALADO 60 kV,85.89
SALINAS 115 kV,195.91
SALINAS 60 kV,149.27
SALT CREEK 69 kV,"-1,954.87"
SAMPSON 69 kV,"-1,185.46"
SAN BENITO 115 kV,40.17
SAN BERNARDINO 230 kV,93.82
SAN FRAN A (POTRERO PP) 115 kV,-329.72
SAN FRAN A (POTRERO PP) 230 kV,-348.85
SAN FRAN AIRPORT 115 kV,"-3,713.07"
SAN FRAN H (MARTIN) 115 kV,-327.66
SAN FRAN H (MARTIN) 230 kV,-347.65
SAN FRAN P (HUNTERS POINT) 115 kV,-328.59
SAN FRAN W (BAYSHORE) 115 kV,-329.05
SAN FRAN X (MISSION) 115 kV,-329.11
SAN FRAN Y (LARKIN) 115 kV,-329.69
SAN FRAN Z (EMBARCADERO) 230 kV,-350.16
SAN JOSE A 115 kV,23.69
SAN JOSE B 115 kV,21.94
SAN LEANDRO U 115 kV,"-2,729.56"
SAN LUIS OBISPO 115 kV,-365.48
SAN LUIS OBISPO 70 kV,-357.54
SAN LUIS REY 230 kV,679.03
SAN LUIS REY 69 kV,704.36
SAN MARCOS 69 kV,-313.9
SAN MATEO 115 kV,-303.34
SAN MATEO 138 kV,166.11
SAN MATEO 230 kV,-269.77
SAN ONOFRE 230 kV,"3,000"
SAN PABLO 115 kV,"-2,857.86"
SAN RAFAEL 115 kV,"-6,109.92"
SAN RAMON 230 kV,"-2,868.26"
SAN YSIDRO 69 kV,"-1,638.63"
SANDLOT 230 kV,-41.55
SANDY 138 kV,"-1,023.68"
SANGER 115 kV,-699.04
SANTA CLARA 230 kV,-39.13
SANTA MARIA 115 kV,-355.2
SANTA NELLA 70 kV,-107.85
SANTA ROSA A 115 kV,"-5,025.14"
SANTA TERESA 115 kV,84.74
SANTA YSABEL 69 kV,-248.65
SANTEE 138 kV,-239.96
SANTIAGO 230 kV,"2,254.39"
SARATOGA 230 kV,85.3
SCHINDLER 115 kV,-499.28
SCHINDLER 70 kV,-363.69
SCHULTE SW STA 115 kV,50.09
SCRIPPS 69 kV,-208.63
SEMITROPIC 115 kV,-981.16
SERRAMONTE 115 kV,-327.66
SERRANO 230 kV,"3,000"
SERRANO 500 kV,"3,000"
SHADOWRIDGE 138 kV,-142.93
SHAFTER 115 kV,-981.16
SHEPHERD 115 kV,-749.93
SILVERADO 115 kV,"-4,669.39"
SILVERGATE 230 kV,-469.29
SILVERGATE 69 kV,"-1,187.66"
SISQUOC 115 kV,-354.59
SLOAN CANYON 230 kV,"-1,020.15"
SMARTVILLE SW STA 60 kV,"-5,989.72"
SMYRNA 115 kV,-981.16
SNEATH LANE 60 kV,-318.7
SOBRANTE 115 kV,"-2,857.86"
SOBRANTE 230 kV,"-2,223.81"
SOLAR SW STA 230 kV,-697.98
SOLEDAD 115 kV,48.82
SOLEDAD 60 kV,48.82
SONOMA A 115 kV,"-5,054.89"
SOUTH BAY 138 kV,-672.59
SOUTH BAY 69 kV,"-1,605.89"
SPAULDING 1 PH 60 kV,"-10,176.50"
SPENCE 60 kV,132.52
SPRING VALLEY 69 kV,"-1,558.78"
SPRINGVILLE 230 kV,-50.44
STAFFORD 60 kV,"-6,109.92"
STAGG 230 kV,540.09
STANISLAUS PH 115 kV,39.75
STATION ,"-1,507.20"
STATION ,-275.28
STELLING 115 kV,40.07
STOCKDALE 115 kV,"-1,010.89"
STOCKDALE 230 kV,"-1,013.01"
STOCKTON A 115 kV,122.92
STOCKTON A 60 kV,97.38
STONE 115 kV,30.89
STREAMVIEW 69 kV,"-1,287.90"
STUART 69 kV,12.99
SUISUN 115 kV,"-3,063.81"
SUNCREST 230 kV,"-3,434.80"
SUNCREST 500 kV,"-3,117.88"
SUNNYSIDE 69 kV,"-3,203.29"
SUTTER HOME SWITCHING STATION 60 kV,34.9
SWEETWATER 69 kV,"-1,091.42"
SWIFT 115 kV,259.8
SYCAMORE CANYON 138 kV,-220.95
SYCAMORE CANYON 230 kV,"-2,499.94"
SYCAMORE CANYON 69 kV,-222.3
SYCAMORE CREEK 115 kV,"-3,677.64"
TABLE MOUNTAIN 115 kV,"-3,677.64"
TABLE MOUNTAIN 230 kV,"-3,679.94"
TABLE MOUNTAIN 500 kV,"-3,339.34"
TABLE MOUNTAIN 60 kV,"-3,936.70"
TAFT 115 kV,-983.72
TALEGA 138 kV,495.25
TALEGA 230 kV,486.39
TASSAJARA 230 kV,-119.59
TEJON 70 kV,"-1,024.40"
TELEGRAPH CANYON 138 kV,"-2,862.16"
TEMBLOR 115 kV,-752.45
TEMPLETON 230 kV,-306.64
TEMPLETON 70 kV,-310.36
TESLA 115 kV,270.83
TESLA 230 kV,"1,337.51"
TESLA 500 kV,"1,986.15"
TESORO 230 kV,"-2,086.83"
TEVIS 115 kV,"-1,010.89"
THOUSANDAIRE 138 kV,"-1,021.43"
TIDEWATER 230 kV,"-2,473.23"
TIGER CREEK PH 230 kV,67.69
